dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,label
9.28519875742495e-06,-6.46169064566493e-06,-5.79400293645449e-05,4.1210885683540255e-05,6.25832035439089e-05,0.00016816412971820682,-8.893045014701784e-05,-1.8967124560731463e-05,-9.334115020465106e-05,-3.330835170345381e-06,-2.080889680655673e-05,-5.278264325170312e-06,2.7404839784139767e-05,-6.115918222349137e-05,5.139034692547284e-05,0.00011440104572102427,-2.374566247453913e-05,3.4472082916181535e-05,-5.1127928600180894e-05,5.2896262786816806e-05,5.0
9.473376849200577e-06,-1.8274040485266596e-06,-5.5221738875843585e-05,4.6300312533276156e-05,5.9402249462436885e-05,0.00016664036957081407,-8.559488924220204e-05,-2.3122174752643332e-05,-9.42947663133964e-05,-4.77376306662336e-06,-6.649428542004898e-06,-7.3888809311029036e-06,2.6297338990843855e-05,-5.606213380815461e-05,4.9974063585978e-05,0.00011324495426379144,-1.9664310457301326e-05,3.043870674446225e-05,-5.309096377459355e-05,4.418630851432681e-05,5.0
1.0008341632783413e-05,-7.784310582792386e-06,-5.36642583028879e-05,4.1516093915561214e-05,6.633160228375345e-05,0.00016797386342659593,-8.39095882838592e-05,-2.0420102373464033e-05,-9.153227438218892e-05,-1.8389509932603687e-06,-1.950110527104698e-05,-2.787822268146556e-06,2.2717284082318656e-05,-5.852987305843271e-05,5.321443313732743e-05,0.00011649013322312385,-2.7107675123261288e-05,2.9446800908772275e-05,-5.052152118878439e-05,5.387679993873462e-05,5.0
1.3280274288263172e-05,-7.956095942063257e-06,-5.57399180252105e-05,4.555382110993378e-05,6.458429561462253e-05,0.0001624967553652823,-8.458923548460007e-05,-2.4699578716536053e-05,-9.130040416494012e-05,1.125274138757959e-06,-2.096164462273009e-05,-3.889772415277548e-07,2.6285202693543397e-05,-6.194357411004603e-05,4.752840322908014e-05,0.00010618376836646348,-3.29298127326183e-05,2.890646646847017e-05,-5.160884029464796e-05,4.786528370459564e-05,5.0
-3.211532020941377e-05,1.27071762108244e-05,-3.821359496214427e-05,3.073160769417882e-05,3.33964271703735e-06,0.00015120740863494575,-6.152091373223811e-05,4.156363502261229e-06,-4.2215920984745026e-05,-5.9335376136004925e-05,-4.7337998694274575e-05,1.0133621799468528e-05,4.0607374103274196e-05,-8.309538679895923e-05,5.3308598580770195e-05,0.00015192001592367887,-3.9161946915555745e-05,1.183983840746805e-05,-3.6731660657096654e-05,3.413983722566627e-05,5.0
1.2627002433873713e-05,-1.2103697372367606e-05,-5.837209755554795e-05,4.635551158571616e-05,6.607988325413316e-05,0.00016317181871272624,-8.810379222268239e-05,-1.9143531972076744e-05,-9.676696208771318e-05,6.071350071579218e-07,-1.8072572856908664e-05,-6.323457455437165e-07,2.0698158550658263e-05,-4.756573980557732e-05,5.566016989178024e-05,0.00011161042493768036,-3.265427949372679e-05,3.0215003789635375e-05,-5.0196220399811864e-05,4.9857539124786854e-05,5.0
1.5712284948676825e-05,-9.572413546266034e-06,-5.237738150754012e-05,5.052195047028363e-05,6.002726513543166e-05,0.00016440550098195672,-8.248002268373966e-05,-2.8660597308771685e-05,-9.301694080932066e-05,-1.1394222383387387e-06,-8.131049980875105e-06,6.4102732721949e-07,2.860842869267799e-05,-6.243353709578514e-05,5.110962956678122e-05,0.00011689837992889807,-2.8168133212602697e-05,2.8519207262434065e-05,-4.5539891289081424e-05,4.718598574982025e-05,5.0
1.3016746379435062e-05,-1.0028412361862138e-05,-5.625859193969518e-05,4.300905857235193e-05,6.699438381474465e-05,0.00016103639791253954,-8.395253826165572e-05,-2.4127451979438774e-05,-9.523180779069662e-05,3.912035026587546e-06,-1.6449994291178882e-05,2.177759597543627e-06,1.703300222288817e-05,-5.5160518968477845e-05,5.38702734047547e-05,0.00011610609362833202,-2.444890014885459e-05,2.88941701001022e-05,-4.8842317482922226e-05,4.917655314784497e-05,5.0
1.0634641512297094e-05,-8.961727871792391e-06,-5.277462332742289e-05,4.335306221037172e-05,6.877852138131857e-05,0.00016867739032022655,-8.8941102148965e-05,-1.9530234567355365e-05,-9.592661808710545e-05,-3.894412657245994e-06,-1.750541923684068e-05,-1.1383392120478675e-05,2.8168020435259677e-05,-5.698425229638815e-05,5.3086736443219706e-05,0.00011501446715556085,-2.3285403585759923e-05,3.12150405079592e-05,-5.453011181089096e-05,4.8333007725887e-05,5.0
1.4616962289437652e-05,-1.2540196621557698e-05,-5.520767444977537e-05,4.013944271719083e-05,6.314069469226524e-05,0.00016560536460019648,-7.791999087203294e-05,-1.7346472304780036e-05,-9.156830492429435e-05,-5.612964741885662e-07,-2.3119817342376336e-05,-9.067297241927008e-07,2.426204810035415e-05,-6.026182745699771e-05,5.037544542574324e-05,0.00010864825162570924,-2.5074426957871765e-05,3.367926910868846e-05,-4.850760888075456e-05,5.5313255870714784e-05,5.0
1.5182726201601326e-05,-1.4332268619909883e-05,-5.314523878041655e-05,4.5321234210859984e-05,7.013881986495107e-05,0.00016191057511605322,-8.62529850564897e-05,-2.4216362362494692e-05,-9.742184192873538e-05,-4.717276169685647e-06,-1.7274425772484392e-05,-7.48867114452878e-06,2.648582449182868e-05,-6.461180601036176e-05,4.9376554670743644e-05,0.00010965397814288735,-2.2320427888189442e-05,3.192879376001656e-05,-5.417771899374202e-05,5.038181188865565e-05,5.0
1.3602024409919977e-05,-1.1205716873519123e-05,-5.595626498688944e-05,5.12327860633377e-05,6.866577314212918e-05,0.0001679592241998762,-8.82965832715854e-05,-1.9628047084552236e-05,-0.00010037602623924613,5.0978233048226684e-06,-2.2684969735564664e-05,-1.6334797692252323e-06,1.6882779164006934e-05,-4.721180448541418e-05,5.4137482948135585e-05,0.00011032995098503307,-2.17245160456514e-05,2.895333818742074e-05,-5.132504884386435e-05,5.0355345592834055e-05,5.0
1.7412319721188396e-05,-4.381799953989685e-06,-5.466672882903367e-05,4.139492375543341e-05,6.706780550302938e-05,0.0001656608219491318,-8.138202974805608e-05,-2.5848299628705718e-05,-9.002663136925548e-05,-1.6033300198614597e-06,-2.0295494323363528e-05,1.221902493853122e-06,1.9303568478790112e-05,-5.1956048991996795e-05,5.344449891708791e-05,0.00010871162521652877,-2.9960996471345425e-05,2.7592468541115522e-05,-4.391912807477638e-05,5.508536196430214e-05,5.0
1.2187185348011553e-05,-1.4448745787376538e-05,-5.6388329539913684e-05,5.2801071433350444e-05,6.523376214317977e-05,0.0001575960050104186,-7.712194201303646e-05,-2.249789577035699e-05,-9.378452523378655e-05,7.696271495660767e-06,-2.277597741340287e-05,7.967446435941383e-08,1.5744455595267937e-05,-4.263720256858505e-05,4.784132761415094e-05,0.00010358283179812133,-2.6779021936818026e-05,3.8985719584161416e-05,-4.799800080945715e-05,3.540392208378762e-05,5.0
1.0710697097238153e-05,-9.38273296924308e-06,-5.278876415104605e-05,4.066889960085973e-05,6.777930684620515e-05,0.0001668488694122061,-8.583052112953737e-05,-1.9705616068677045e-05,-9.458564454689622e-05,-1.232252543559298e-06,-2.6614150556270033e-05,-4.85703185404418e-06,2.064015279756859e-05,-5.643853364745155e-05,5.149054777575657e-05,0.00011268514208495617,-2.3348460672423244e-05,3.264638871769421e-05,-5.373599560698494e-05,4.869785698247142e-05,5.0
1.1598021956160665e-05,-6.318055966403335e-06,-5.9693782532121986e-05,5.007262006984092e-05,6.148367538116872e-05,0.0001668387121753767,-8.005606650840491e-05,-2.357258927077055e-05,-9.227961709257215e-05,1.0278825357090682e-05,-1.567164872540161e-05,6.6518828134576324e-06,1.6250272892648354e-05,-5.43812639079988e-05,4.803826232091524e-05,0.00010910381388384849,-2.9964196073706262e-05,2.4561584723414853e-05,-4.755421105073765e-05,4.829440877074376e-05,5.0
1.4125580491963774e-05,-1.1906893632840365e-05,-5.30680081283208e-05,5.128895281814039e-05,6.15730241406709e-05,0.00016968324780464172,-8.67300113895908e-05,-2.352787123527378e-05,-9.970925748348236e-05,-9.237337508238852e-07,-1.9072340364800766e-05,1.0072139957628679e-06,2.941604907391593e-05,-5.607693674392067e-05,5.614714973489754e-05,0.00011091559281339869,-2.3539410904049873e-05,3.359674519742839e-05,-5.729472468374297e-05,4.7408986574737355e-05,5.0
1.0608799129840918e-05,-6.961800681892782e-05,-3.035063491552137e-05,8.339502528542653e-05,-2.2161797460285015e-05,7.155759521992877e-05,9.337741357740015e-05,-2.4869943445082754e-05,-1.857904135249555e-05,7.164115231717005e-05,-1.4190265574143268e-05,8.746103412704542e-05,2.7411799237597734e-05,-8.125624299282208e-05,-4.732044180855155e-05,2.724684054555837e-05,-7.587243089801632e-06,2.5456218281760812e-05,6.209786079125479e-05,-2.16088374145329e-05,10.0
1.542081736261025e-05,-1.0175961506320164e-05,-5.880399839952588e-05,4.513017847784795e-05,6.383468280546367e-05,0.00016634422354400158,-7.999339140951633e-05,-2.3394388335873373e-05,-9.691269224276766e-05,-1.8208265828434378e-06,-1.4647303032688797e-05,1.1689749044307973e-06,1.7478922018199228e-05,-5.588359999819659e-05,5.033869092585519e-05,0.00011151487706229091,-2.9071748940623365e-05,2.833145481417887e-05,-4.548315337160602e-05,5.0221839046571404e-05,5.0
-1.9899362087016925e-05,-7.141118840081617e-05,-2.6324880309402943e-05,8.140123827615753e-05,-1.7633572497288696e-05,8.373813761863858e-05,9.114175918512046e-05,-1.5654739399906248e-05,3.6834171623922884e-07,6.449584907386452e-05,5.83445216761902e-06,0.0001114093029173091,4.8176225391216576e-05,-9.926839265972376e-05,-4.72327446914278e-05,3.6741490475833416e-05,1.5914762116153724e-05,2.2496522433357313e-05,4.941038059769198e-05,-2.2068719772505574e-05,10.0
1.1400319635868073e-05,-5.534155206987634e-06,-5.8959729358321056e-05,4.015232843812555e-05,6.988984387135133e-05,0.0001566664141137153,-8.536760287825018e-05,-2.2154374164529145e-05,-9.450521611142904e-05,4.343382897786796e-08,-2.2990367142483592e-05,-1.343201120107551e-06,1.1586360415094532e-05,-5.0514147005742416e-05,5.500693805515766e-05,0.00010315130930393934,-2.8956857931916602e-05,3.387738615856506e-05,-5.095824599266052e-05,4.074724347447045e-05,5.0
1.7406593542546034e-05,-1.572969267726876e-05,-6.0126509197289124e-05,4.996637289877981e-05,6.11207215115428e-05,0.00015435439127031714,-8.238424197770655e-05,-1.9109669665340334e-05,-8.599249122198671e-05,9.031336958287284e-06,-2.082571154460311e-05,1.4769884728593752e-06,1.811189576983452e-05,-5.1319791964488104e-05,5.2566414524335414e-05,0.00010967602429445833,-3.0446459277300164e-05,2.50358170887921e-05,-4.7998324589570984e-05,4.914808232570067e-05,5.0
1.1602809536270797e-05,-1.0222567652817816e-05,-5.838342985953204e-05,4.30171967309434e-05,6.144840153865516e-05,0.00015819413238205016,-7.499007188016549e-05,-2.0723680790979415e-05,-8.801495278021321e-05,3.275225026300177e-06,-1.6277150280075148e-05,3.920153176295571e-06,1.4702374755870551e-05,-5.2661693189293146e-05,5.388748104451224e-05,0.00011057690426241606,-2.9138411264284514e-05,2.4800243409117684e-05,-4.230396734783426e-05,4.720258584711701e-05,5.0
1.4680656022392213e-05,-1.3215856597525999e-05,-6.056417623767629e-05,4.707860716735013e-05,6.433844828279689e-05,0.00016849127132445574,-8.415681077167392e-05,-1.9629263988463208e-05,-9.658977069193497e-05,2.043172571575269e-06,-2.5203604309353977e-05,4.506307050178293e-06,2.125413084286265e-05,-5.834603507537395e-05,5.2504430641420186e-05,0.00011643119069049135,-3.22821615554858e-05,2.8564536478370428e-05,-5.330159910954535e-05,5.166057962924242e-05,5.0
8.173716196324676e-06,-8.949580660555512e-06,-5.67057759326417e-05,4.8744535888545215e-05,6.26541004749015e-05,0.000158565555466339,-7.622604607604444e-05,-2.4352628315682523e-05,-9.565689106239006e-05,5.5209166021086276e-06,-1.776394128683023e-05,4.36726440966595e-06,2.263223723275587e-05,-5.7329194532940164e-05,5.0741211452987045e-05,0.00010586743883322924,-2.113702976203058e-05,3.0389128369279206e-05,-5.579241405939683e-05,5.260747639113106e-05,5.0
1.025036908686161e-05,-1.2878794223070145e-05,-5.66760754736606e-05,4.6131102863000706e-05,6.339464744087309e-05,0.00016230477194767445,-8.679580787429586e-05,-2.7358042643754743e-05,-9.513134864391759e-05,-5.554720701184124e-07,-1.6949699784163386e-05,4.968990197085077e-06,2.185024095524568e-05,-6.362526619341224e-05,4.913796510663815e-05,0.00010680283594410866,-2.3595097445650026e-05,3.146832386846654e-05,-5.2869894716423005e-05,3.682830720208585e-05,5.0
9.9402095656842e-06,-6.354221113724634e-06,-5.4561387514695525e-05,3.963458220823668e-05,6.650284194620326e-05,0.00016744820459280163,-6.505625060526654e-05,-1.9450730178505182e-05,-8.823788084555417e-05,-2.900618710555136e-06,-1.4411860320251435e-05,1.0792297871375922e-05,2.878768827940803e-05,-6.92907051416114e-05,4.289107891963795e-05,0.00011372361768735573,-1.962094393093139e-05,2.262600537505932e-05,-5.487698217621073e-05,4.983455437468365e-05,5.0
1.1266653018537909e-05,-5.589427019003779e-06,-5.747994509874843e-05,4.511154111241922e-05,5.745670569012873e-05,0.0001652222272241488,-7.197233207989484e-05,-1.8480030121281743e-05,-8.475677896058187e-05,-5.169669748283923e-06,-1.61371826834511e-05,1.1517863640619908e-05,2.4992379621835425e-05,-6.38263882137835e-05,4.843240094487555e-05,0.00011721196642611176,-2.800183938234113e-05,2.2097079636296257e-05,-5.157179111847654e-05,4.9589580157771707e-05,5.0
-1.5656660252716392e-05,-8.05952658993192e-05,-2.090936504828278e-05,9.098758891923353e-05,-1.7132570064859465e-05,7.967610144987702e-05,8.944871660787612e-05,-7.5157695391681045e-06,-3.828987246379256e-06,6.313210178632289e-05,-6.261325324885547e-06,9.466850315220654e-05,5.220157254370861e-05,-9.821802086662501e-05,-3.289217420388013e-05,1.3095112080918625e-05,1.0003392162616365e-05,3.363229552633129e-05,3.884176112478599e-05,-1.686453470028937e-05,10.0
1.370393147226423e-05,-7.837665179977193e-06,-5.8961795730283484e-05,5.409765799413435e-05,6.290538294706494e-05,0.00016933084407355636,-8.750749111641198e-05,-2.0886438505840488e-05,-9.639030031394213e-05,3.3121068554464728e-06,-2.341706567676738e-05,1.864207661128603e-06,1.7084976207115687e-05,-4.782705582329072e-05,4.85719574498944e-05,0.00011076859664171934,-2.957703691208735e-05,2.814401887007989e-05,-4.9916729039978236e-05,4.1763883928069845e-05,5.0
-3.5654084058478475e-06,-5.820369551656768e-06,-5.326921018422581e-05,4.427247040439397e-05,5.7053181080846116e-05,0.00016523845260962844,-6.859100540168583e-05,-2.276335726492107e-05,-7.870075933169574e-05,-1.13988971861545e-05,-1.7895690689329058e-05,1.6340374713763595e-05,1.793714181985706e-05,-6.964278873056173e-05,4.309842915972695e-05,0.00011253540287725627,-1.9093346054432914e-05,3.196648685843684e-05,-6.606698298128322e-05,4.287389310775325e-05,5.0
1.7591701180208474e-05,-4.041743522975594e-06,-5.4779371566837654e-05,4.897658436675556e-05,5.645539204124361e-05,0.00016094796592369676,-7.283555169124156e-05,-3.143653884762898e-05,-8.777078619459644e-05,1.7291567928623408e-06,-1.99240239453502e-05,9.48259730648715e-06,1.1977868780377321e-05,-5.272030830383301e-05,4.815794818568975e-05,0.00010029382247012109,-3.140286207781173e-05,2.6671878003980964e-05,-4.7084802645258605e-05,4.803217598237097e-05,5.0
1.5385296137537807e-05,-1.373186387354508e-05,-5.6053373555187136e-05,4.692780930781737e-05,5.95950405113399e-05,0.00016915056039579213,-7.829596870578825e-05,-1.879388582892716e-05,-9.299698285758495e-05,2.5459266908001155e-06,-1.577302100486122e-05,1.436537058907561e-05,2.1565196220763028e-05,-5.8540339523460716e-05,4.827552038477734e-05,0.00011238174192840233,-2.6625099053489976e-05,2.5396311684744433e-05,-5.0721697334665805e-05,5.2950534154661e-05,5.0
1.510834408691153e-05,-5.484042048919946e-06,-5.6001161283347756e-05,4.636859011952765e-05,6.839080742793158e-05,0.00016522248915862292,-8.166760380845517e-05,-2.2399115550797433e-05,-9.054929250851274e-05,-7.01805402059108e-06,-2.0054540073033422e-05,1.20441882245359e-07,2.287952884216793e-05,-5.637863796437159e-05,5.10425707034301e-05,0.00011709248065017164,-3.2005831599235535e-05,2.8860278689535335e-05,-4.63818505522795e-05,5.1154471293557435e-05,5.0
1.564726699143648e-05,-1.6180587408598512e-05,-5.2448467613430694e-05,5.485034853336401e-05,6.77352145430632e-05,0.00016344441974069923,-9.183517249766737e-05,-1.8124277630704455e-05,-9.506945207249373e-05,6.916812708368525e-06,-2.3195123503683135e-05,-4.696784344560001e-06,2.2241409169510007e-05,-5.4711646953364834e-05,5.6906199461081997e-05,0.00010979008220601827,-2.519713598303497e-05,3.196453690179624e-05,-4.931760850013234e-05,4.981038728146814e-05,5.0
1.1930460459552705e-05,-9.519295417703688e-06,-5.9240133850835264e-05,4.427569001563825e-05,6.394377851393074e-05,0.00016452395357191563,-8.0774916568771e-05,-2.9196935429354198e-05,-8.94981058081612e-05,-5.4332522267941386e-06,-1.5501231246162206e-05,1.5926161722745746e-08,2.3845132091082633e-05,-6.257364293560386e-05,5.004622653359547e-05,0.00011223976616747677,-2.8459819077397697e-05,2.7673737349687144e-05,-4.942691884934902e-05,4.356256977189332e-05,5.0
1.0478019248694181e-05,-6.400641723303124e-06,-5.868242442375049e-05,4.1474460886092857e-05,5.773784141638316e-05,0.00016251341730821878,-8.996771066449583e-05,-2.732469693000894e-05,-9.920782031258568e-05,-1.0205119906459004e-05,-2.129771382897161e-05,-4.708466804004274e-06,2.1758960428996943e-05,-6.28801280981861e-05,5.506937304744497e-05,0.00011800669017247856,-2.4144310373230837e-05,2.9293812985997647e-05,-5.17115076945629e-05,4.3622432713164017e-05,5.0
-5.110276833875105e-05,-1.3907992979511619e-08,-7.49553000787273e-05,-6.623880472034216e-05,-2.0183984815957956e-05,2.9495509807020426e-05,0.00016878325550351292,-3.966023723478429e-05,0.00011055250797653571,-2.4432862119283527e-05,-6.30063732387498e-05,-1.0752304660854861e-05,6.524722994072363e-05,-0.00013781263260170817,-3.8005575333954766e-05,-7.807055226294324e-06,1.3491433492163196e-05,3.1920306355459616e-05,-6.832439248682931e-05,1.4943121641408652e-05,0.0
1.1367796105332673e-05,-5.802277883049101e-06,-5.302733552525751e-05,4.44179167971015e-05,5.7051256590057164e-05,0.0001661372953094542,-7.424807699862868e-05,-2.2060816263547167e-05,-9.049102663993835e-05,-4.86155113321729e-06,-2.0779145415872335e-05,1.4023113180883229e-05,2.306480018887669e-05,-5.440196764538996e-05,4.7738387365825474e-05,0.00011360863572917879,-3.093313716817647e-05,1.8504619220038876e-05,-5.053694258094765e-05,4.9339250836055726e-05,5.0
1.1315321899019182e-05,-5.836631316924468e-06,-5.6205135479103774e-05,4.916259058518335e-05,6.98783915140666e-05,0.00016790986410342157,-8.534825610695407e-05,-1.533803151687607e-05,-0.00010098157508764416,1.0560615919530392e-06,-2.3041411623125896e-05,-2.5379931685165502e-06,1.7367485270369798e-05,-5.193449032958597e-05,5.370835424400866e-05,0.00011191359226359054,-2.4502311134710908e-05,2.4590601242380217e-05,-4.7131310566328466e-05,5.180379230296239e-05,5.0
9.612114808987826e-06,-3.4570366551633924e-06,-5.6404478527838364e-05,3.807783650700003e-05,5.71022646909114e-05,0.0001698320993455127,-7.129176810849458e-05,-2.08656692848308e-05,-9.432650404050946e-05,-3.5037228371948004e-06,-1.682299262029119e-05,-1.634306499909144e-06,2.4927952836151235e-05,-6.618123734369874e-05,5.465539652504958e-05,0.00011413735774112865,-2.4566093998146243e-05,3.1014118576422334e-05,-5.569769564317539e-05,5.1212115067755803e-05,5.0
9.399023838341236e-06,-9.021165169542655e-06,-5.301020428305492e-05,3.9338112401310354e-05,5.843164035468362e-05,0.00016589555889368057,-7.6803655247204e-05,-1.7866259440779686e-05,-9.409702761331573e-05,-1.0176263458561152e-06,-2.9662332963198423e-06,-3.5682110137713607e-06,2.7374024284654297e-05,-6.322903209365904e-05,5.4628399084322155e-05,0.00011168657511007041,-2.0380341084091924e-05,2.8554011805681512e-05,-5.1693183195311576e-05,5.763373337686062e-05,5.0
1.3409990060608834e-05,-8.437869837507606e-06,-5.535150194191374e-05,4.336061465437524e-05,5.958480323897675e-05,0.0001601797412149608,-7.921867654658854e-05,-2.5497178285149857e-05,-8.562103903386742e-05,-3.7049612728878856e-06,-1.4409255527425557e-05,1.1963743418164086e-06,1.9887425878550857e-05,-5.832186434417963e-05,5.4853546316735446e-05,0.00011708775127772242,-3.094295971095562e-05,2.798861896735616e-05,-5.029896055930294e-05,5.472673728945665e-05,5.0
1.7412006855010986e-05,-1.2239273928571492e-05,-5.365792094380595e-05,3.9004546124488115e-05,6.562414637301117e-05,0.0001669761841185391,-8.140073623508215e-05,-2.4785424102446996e-05,-9.012983355205506e-05,1.2733289622701705e-06,-1.1968091712333262e-05,2.364153033340699e-06,2.008374940487556e-05,-5.6204258726211265e-05,4.987029024050571e-05,0.0001063961535692215,-2.1798847228637896e-05,2.929802576545626e-05,-5.123279697727412e-05,4.799219095730223e-05,5.0
1.0905059752985835e-05,-1.239242556039244e-05,-6.062802640371956e-05,4.2226278310408816e-05,6.285967538133264e-05,0.00016467484238091856,-8.110433554975316e-05,-2.2537176846526563e-05,-9.439130371902138e-05,1.4950164768379182e-06,-1.5107398212421685e-05,-7.971389095473569e-07,2.8061593184247613e-05,-5.17985135957133e-05,4.574003833113238e-05,0.00010864630166906863,-2.993778070958797e-05,3.358048343216069e-05,-5.306035382091068e-05,5.482232154463418e-05,5.0
7.456429011654109e-05,-0.00012111176329199225,-9.968425729312003e-05,-5.8585537772160023e-05,1.3283863154356368e-05,-3.3496027754154056e-05,-2.751978172454983e-06,-2.60881643043831e-06,-4.136966890655458e-05,6.256923370528966e-05,-1.6019730537664145e-06,-0.00013445521472021937,7.89253317634575e-06,-9.827380563365296e-05,5.0619761168491095e-05,2.960459823952988e-06,-3.6514175008051097e-06,5.4491913033416495e-05,4.4476961193140596e-05,1.5119956515263766e-05,2.0
1.5016237739473581e-05,-5.214122211327776e-06,-5.844571569468826e-05,4.454516965779476e-05,5.99759332544636e-05,0.0001566367718623951,-8.484972931910306e-05,-1.8087279386236332e-05,-9.348541789222509e-05,-5.009969754610211e-06,-1.3489425327861682e-05,2.7919454623770434e-06,1.9886023437720723e-05,-5.689485988114029e-05,5.378360947361216e-05,0.00011657751747407019,-2.492015300958883e-05,2.191625753766857e-05,-4.2563973693177104e-05,4.9191745347343385e-05,5.0
